ID_Club;ID_Prov;Province;gdp_2012;gdpg_2012;gdpc_2012;wage_2012;gap_hp;backinf;forwinf;grdp;trade;trade_grdp;pcons;pcons_grdp;loan;loan_grdp;agri_g;trade_g;pcons_g;loan_g;cpi;gap_ham;spainfquepoly;spainfquepoly19;spainfquepolydia;ogap_prov_nat;stdev_all_mtm;stdev_2012_mtm;stdev_all_yoy;stdev_2012_yoy;inf2012_mtm;inf2012_yoy;lbr_prod;gcons_g;gcons_grdp;grev_g;gexp_g;gdirexp_g;gindirexp_g;lbr_prod_g;market;trans_cost18;pop;gdppc_2015;pop_sq;gdp_sq;nat_gap;exp_cap;wage_hour;gdp_g;std_gdp_g;std_pcons_g
3;22;West Nusa Tenggara;66340812.44;-1.541023122;14.74170827;1000000;4.733494566;5.021549801;4.436251989;84040059.18;12328646.36;14.67103926;53331323.44;64.17820832;31191911.46;36.26888625;4.074000549;7.159857137;3.412142868;20.6966672;120.1046205;3.190381148;4.774952187;2.350630956;4.504974014;-2.886986995;0.718880679;0.663911545;2.112490865;1.760390409;0.329141578;7.354008457;38.23469603;3.183705986;13.62183233;15.75204158;16.43969847;17.21713222;17.68017106;1.906557924;11155.00693;825490.1;4830118;23.32562724;260.0707935;4525.016755;0.039348658;679363.0557;10426;4.499527663;7.900085168;1.623334829
3;23;East Nusa Tenggara;48863187.54;5.458309345;10.43232116;925000;-0.0084451;4.831743693;4.329811162;58620469.82;7158225.287;12.17160293;45289723;77.28867713;21385486.7;35.69468881;3.339711686;6.566785483;5.05976494;15.2580573;120.6545786;-0.099121784;4.74205611;2.251287174;4.409088988;0.055548454;0.89576828;0.701140599;2.06534002;0.885051534;0.435642545;4.741216178;25.84029978;5.042663113;28.14174806;20.4268882;21.97387689;15.46211611;30.70086566;3.114542022;7507.723935;436558.2;5112760;22.03614721;104.9458004;1203.258539;0.039348658;540396.7606;12252.25;5.174708679;0.178533554;0.59573646
2;24;Papua;107890942.6;1.719878908;38.07851559;1585000;-3.358459766;5.070053585;4.679431163;132770826.4;11739853.37;8.82712514;55123243.83;41.56135;17622186.57;13.46684231;4.030469034;7.593263774;5.826117541;13.39815931;122.844367;7.23995001;4.867941445;2.007427936;4.55884529;0.343324335;1.009266505;1.000692538;2.315076463;0.904859371;0.373669191;2.489300285;79.99740561;5.046531886;18.76441163;10.98522035;10.88172364;13.99288414;10.79757546;1.103890306;4663.335312;577514;3143088;35.8454908;9.85182709;416.162457;0.039348658;835499.4823;22999.75;3.338002751;8.112616494;0.996015656
2;25;Riau;425625998.5;3.756597574;76.85045041;1238000;-0.011657349;4.851179051;4.55731746;458322053.4;42969090.07;9.349312962;150812227.4;32.80693046;80331344.65;17.40874053;4.078680115;5.574417454;5.233324245;10.40055481;121.7211869;-0.698698445;5.166264523;1.85890324;4.573365321;0.21685222;0.539108827;0.4664986;1.898142457;0.784298314;0.273663693;4.225460718;170.7058417;1.754094991;3.985231632;7.462843184;13.25920786;12.09179192;16.95164485;-0.707884495;5729.358371;1236844.1;6330941;17.79601674;72.74965222;5266.637297;0.039348658;990945.9401;14720.75;2.40236859;0.998923662;1.813745105
3;26;West Sulawesi;20786885.76;9.246516117;17.94059277;1127000;0.053499846;4.359978588;3.925769104;26762056.09;2729534.105;10.22994874;13689909.36;51.46042089;7363437.797;26.70987806;5.754405052;6.262922938;5.005434709;17.31545283;119.38174;-0.376592775;4.995029193;2.603667583;4.620072497;-0.121672004;0.578111842;0.522130958;1.928459345;0.443373203;0.270287877;3.528204913;44.32170679;5.387429324;16.4979806;14.71868876;14.59527443;9.534271305;24.91867301;4.444626192;5739.883408;131656.9;1279994;88.02035947;76.24830377;1594.196053;0.039348658;594976.186;12833.25;7.080874106;1.322823677;0.221036989
2;27;South Sulawesi;202184587.7;8.872031106;25.16368692;1200000;0.048889225;4.684020939;4.617811234;262828626.1;41779012.58;15.79486553;140143609.9;53.56154889;101093543.8;38.05179741;5.86154899;9.317248876;6.171576803;11.5444647;120.4773249;0.145221351;4.55892465;2.135720031;4.389787275;0.005010627;0.618986456;0.534163453;1.532866491;0.590524352;0.361144592;4.032952912;72.5825642;3.936294403;9.723382606;16.15590648;16.07159797;11.29209874;19.62671621;5.490906387;8240.666021;1284640.8;8512608;13.23513687;182.2146229;5625.916169;0.039348658;748000.4947;14642.75;7.47707579;0.61111735;0.637240326
2;28;Central Sulawesi;62249529.25;9.529008924;23.62402908;885000;1.061505137;5.399782482;5.129127556;86005470.66;8391554.998;9.889867222;43347796.73;51.15203803;27551501.91;31.59915308;4.749438144;5.636605704;5.350201075;13.79696898;122.4797273;0.026950067;4.880170474;2.026573894;4.686051856;-0.8181563;1.003754684;1.253366205;1.841806146;1.4271023;0.483848911;4.972303985;62.80599457;3.731004013;12.37830188;14.83770326;15.14906514;13.86693292;17.15157434;6.59305034;5441.017045;758215.2;2872857;39.21724332;46.45532136;1390.745094;0.039348658;758760.736;13172.25;8.7692034;3.234208534;1.266408181
4;29;Southeast Sulawesi;59785399.06;11.6509715;26.77854249;1032300;0.098726241;4.411167449;4.112552224;76061653.51;9792830.346;12.812583;36387128.79;47.93188289;20441969.83;26.31668736;5.58562687;8.574766905;6.279387555;16.71029194;118.8373454;-0.376592775;4.610568718;1.951170864;4.437048542;0.054245466;0.964881234;0.710264559;1.951068635;1.177727803;0.430008337;4.40973886;67.63804046;4.321613282;14.69694389;15.8229744;16.12980182;16.67225818;17.96065487;4.784617044;4377.62807;940755.7;2495248;45.15203779;65.54764275;1998.062754;0.039348658;699260.921;16365.25;7.311566601;1.79451024;0.669799749
3;30;North Sulawesi;58677586.67;6.859638711;25.84237208;1250000;0.036715787;4.585391651;4.941186588;73177880.96;10960850.2;14.94480102;34562957.42;47.3305384;33326864.74;44.8520847;4.550907787;6.921697204;5.498448938;11.1387886;120.0856856;0.152932732;5.19365774;2.112007721;4.760192425;0.002218599;1.215190149;1.02253594;2.325964668;2.508668825;0.494884512;3.870311355;70.28832818;5.853312693;17.1077297;15.25358343;17.5117885;18.53243586;17.53524403;4.630770461;8367.78125;773501.1;2409921;46.75071589;173.9809149;5282.975948;0.039348658;887592.7161;15726.75;6.227146967;0.342743401;0.856386399
2;31;West Sumatera;118724424.7;6.308169482;24.49487388;1150000;0.065943175;5.322064477;4.859210289;144893984.2;24134469.9;16.62292887;75213186.62;52.04058114;46366802.63;31.78516961;3.518734904;6.572664665;4.457067219;8.87064186;123.8252835;0.066170764;5.330908774;2.252979279;4.755755737;0.020862495;0.803123986;0.677271623;2.475477955;1.541077341;0.342702244;4.345536455;63.58904007;3.667124313;11.93316861;16.46767699;15.26204939;11.56105186;18.95676994;2.937414388;6455.941542;1668868.9;5190577;21.70578184;123.5472494;3448.798314;0.039348658;891552.7471;13377;5.57208116;0.462595909;0.200488006
3;32;South Sumatera;220459198.3;6.83196896;29.59027379;1195220;-0.324827669;4.299458109;4.085091492;264074657.8;29849624.5;11.25230503;166450497.3;63.19032214;95217351.94;35.5355037;3.361614453;7.139835614;4.587251928;12.86855875;118.6466777;-0.304517896;5.594121738;2.59539062;4.780280947;0.20439477;0.591805748;0.335801131;1.624437522;0.666542054;0.224092118;3.34697246;68.86581991;4.319981922;7.487727753;12.2488882;13.48782524;10.96976558;18.48564958;3.436244939;6038.31982;2642036;8043042;14.00782589;87.81339244;2883.14938;0.039348658;766391.3009;12663.5;5.457485566;0.757016083;1.017535003
2;33;North Sumatera;375924139.5;6.449583352;28.95688124;1200000;-0.005896072;4.98493935;4.818224246;454847420.4;90196828.14;19.80044359;233448940.9;51.34499457;173410090.2;37.76896003;4.988874037;6.196425204;5.019741383;10.52525643;123.3989182;-0.154509705;4.753003592;1.938639681;4.421488679;0.0925346;0.740547739;0.675761114;2.195146835;0.88194405;0.318171573;4.176054752;72.67871507;2.86068788;6.91722813;16.06873604;18.36354995;13.77871129;24.5997919;3.221159239;8034.196192;1390255.1;13923262;8.091891972;190.7786701;6232.389074;0.039348658;773529.3363;12251;5.441508089;0.515988704;0.435064942
4;34;Yogyakarta;71702449.18;5.367496665;20.73828947;892660;-0.316125251;4.293117073;4.154229307;86605566.9;15363929.24;17.70762991;51578429.19;59.67525032;30937188.02;34.91210911;1.747978795;6.408523325;4.846503712;14.47094424;119.0096835;-0.074458267;4.753352042;2.630964576;4.337353807;0.185730141;0.442982051;0.254402148;1.46634622;0.374120761;0.35244385;3.87860491;43.17991377;3.908554451;14.63351091;17.79951535;21.89934007;20.87191727;23.6342263;3.315625467;7336.862275;1042850.6;3675768;30.65088221;1173.186091;27641.69187;0.039348658;938246.7402;11724;5.508285837;0.583654947;0.808794748
